R_m,method,seed,seam_c0_rms_m,seam_c1_rms_deg
8.0,gaussian_calibrated,19,6.940712672436983e-06,0.0028553584806248157
8.0,gaussian_calibrated,20,4.33990895030302e-06,0.0017165825715435362
8.0,gaussian_calibrated,21,5.228474011725993e-06,0.002335319364108116
8.0,gaussian_calibrated,22,5.071604618757477e-06,0.0018774135724186679
8.0,gaussian_calibrated,23,4.249988988602315e-06,0.001686526355369267
8.0,gaussian_calibrated,24,6.599185623505539e-06,0.002670532877809871
8.0,gaussian_calibrated,25,3.6389069683394216e-06,0.0013512967031670312
8.0,gaussian_calibrated,26,3.1238268470189275e-06,0.0013118553907203335
8.0,gaussian_calibrated,27,7.209483232948445e-06,0.0027435922495672622
8.0,gaussian_calibrated,28,6.409881721435412e-06,0.0024476195324070705
8.0,gaussian_calibrated,29,3.2768533669066877e-06,0.0013395766190147766
12.0,smoothstep,0,3.329581070001039e-07,0.0007760146510830634
12.0,smoothstep,1,1.094289970315297e-07,0.0002553147878148068
12.0,smoothstep,2,2.685243618986576e-07,0.000616114591119621
12.0,smoothstep,3,1.2545168527893046e-07,0.000290114510015039
12.0,smoothstep,4,2.3093774149290124e-07,0.0005418723462244266
12.0,smoothstep,5,3.317465558357737e-07,0.0007702289926223658
12.0,smoothstep,6,1.3687441904260353e-07,0.00031372719105011147
12.0,smoothstep,7,1.997760140631484e-07,0.00045955104418630586
12.0,smoothstep,8,2.2305214461442862e-07,0.0005175618518043641
12.0,smoothstep,9,1.8927044012943233e-07,0.0004408285774714055
12.0,smoothstep,10,3.393442915068979e-07,0.0007955100466107514
12.0,smoothstep,11,2.4051240482826176e-07,0.0005571534758909926
12.0,smoothstep,12,3.2692406966414097e-07,0.0007580724427941963
